ben_hastayim;301;405;
ben_hastayim;463;570;
ben_hastayim;614;697;
ben_hastayim;737;837;
ben_hastayim;879;988;
ben_hastayim;1022;1127;
ben_hastayim;1161;1285;
ben_hastayim;1378;1472;
ben_hastayim;1557;1668;
ben_hastayim;1712;1845;
ben_hastayim;1888;2021;
ben_hastayim;2094;2173;
ben_hastayim;2228;2337;
ben_hastayim;2508;2614;
ben_hastayim;2660;2781;
ben_hastayim;2818;2937;
bilgi_almak_istiyorum_ben;3660;3864;
bilgi_almak_istiyorum_ben;4239;4436;
bilgi_almak_istiyorum_ben;5102;5254;
bilgi_almak_istiyorum_ben;5303;5461;
bilgi_almak_istiyorum_ben;6042;6264;
bilgi_almak_istiyorum_ben;6326;6515;
bilgi_almak_istiyorum_ben;6620;6848;
bilgi_almak_istiyorum_ben;6955;7141;
bilgi_almak_istiyorum_ben;7196;7364;
bilgi_almak_istiyorum_ben;7420;7582;
