hayir_yok;1151;1254
hayir_yok;1275;1371
hayir_yok;1398;1478
hayir_yok;1507;1600
hayir_yok;1624;1721
hayir_yok;1765;1847
hayir_yok;1882;1963
hayir_yok;1989;2068
hayir_yok;2094;2183
hayir_yok;2209;2290
hayir_yok;2309;2397
evet_var;3290;3400
evet_var;3668;3749
evet_var;3793;3871
evet_var;3912;3975
evet_var;4020;4091
evet_var;4136;4214
evet_var;4258;4346
evet_var;4380;4465
evet_var;4496;4586
evet_var;4614;4701
evet_var;4729;4818
evet_var;4844;4916
evet_var;4957;5033
evet_var;5082;5177
evet_var;5204;5278
evet_var;5308;5387
evet_var;5417;5494
evet_var;5527;5615
nongesture;6647;8985
